term_id	METABRIC	TCGA	combined	instruct
GO:0019369	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0019730	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0019752	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0019882	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0019884	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0023061	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0030073	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0030194	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0030307	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0031629	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0032102	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0032496	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0032787	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0032940	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0033559	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0034097	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0034341	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0042391	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0042886	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0043436	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0043604	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0044272	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0045055	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0046903	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0048499	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0048791	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0050804	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0050806	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0051046	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0051050	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0051938	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
